task_id,jira_ticket,status,assigned_to,priority,created_at,completed_at
190,TASK-1189,Review,Eve,High,2025-01-08 21:00:00,2025-01-10 13:00:00
191,TASK-1190,Review,Alice,Critical,2025-01-08 22:00:00,2025-01-11 15:00:00
192,TASK-1191,Done,Alice,Critical,2025-01-08 23:00:00,2025-01-11 02:00:00
193,TASK-1192,In Progress,Alice,Medium,2025-01-09 00:00:00,2025-01-11 11:00:00
194,TASK-1193,Review,Alice,High,2025-01-09 01:00:00,2025-01-10 11:00:00
195,TASK-1194,Review,Charlie,Critical,2025-01-09 02:00:00,2025-01-11 01:00:00
196,TASK-1195,Blocked,David,Medium,2025-01-09 03:00:00,2025-01-09 13:00:00
197,TASK-1196,Blocked,Bob,Medium,2025-01-09 04:00:00,2025-01-11 15:00:00
198,TASK-1197,To Do,Charlie,Medium,2025-01-09 05:00:00,2025-01-11 15:00:00
199,TASK-1198,Done,Charlie,Critical,2025-01-09 06:00:00,2025-01-11 18:00:00
200,TASK-1199,To Do,Bob,High,2025-01-09 07:00:00,2025-01-11 20:00:00
