timestamp,cpu_usage,memory_usage,disk_io,network_latency
2025-01-02 16:00:00,76.41,89.04,809.01,146.47
2025-01-02 17:00:00,19.64,57.56,643.35,39.33
2025-01-02 18:00:00,89.13,84.68,202.84,23.94
2025-01-02 19:00:00,92.81,36.53,473.05,84.93
2025-01-02 20:00:00,94.65,73.2,877.17,159.27
2025-01-02 21:00:00,14.75,57.19,930.66,149.27
2025-01-02 22:00:00,72.65,70.44,519.13,11.92
2025-01-02 23:00:00,56.4,24.36,532.75,91.57
2025-01-03 00:00:00,70.0,30.34,926.61,104.96
2025-01-03 01:00:00,92.34,29.32,628.36,129.26
2025-01-03 02:00:00,68.48,68.1,129.56,130.38
2025-01-03 03:00:00,81.14,79.11,921.47,73.57
2025-01-03 04:00:00,83.68,72.47,323.4,112.57
2025-01-03 05:00:00,81.27,22.13,619.87,96.73
2025-01-03 06:00:00,46.22,80.71,248.96,177.11
2025-01-03 07:00:00,28.92,44.79,130.49,106.52
2025-01-03 08:00:00,43.72,47.8,380.33,88.77
2025-01-03 09:00:00,85.81,27.34,802.45,81.49
2025-01-03 10:00:00,22.46,71.62,349.83,114.91
2025-01-03 11:00:00,53.63,32.76,298.09,160.99
2025-01-03 12:00:00,29.82,59.48,291.41,108.14
2025-01-03 13:00:00,59.41,78.85,563.66,132.67
2025-01-03 14:00:00,83.37,26.24,977.99,147.83
2025-01-03 15:00:00,84.83,57.47,513.09,104.51
2025-01-03 16:00:00,30.12,36.33,601.57,85.94
2025-01-03 17:00:00,87.15,44.0,874.57,175.46
2025-01-03 18:00:00,60.31,53.18,581.56,84.08
2025-01-03 19:00:00,39.77,44.86,266.02,92.93
2025-01-03 20:00:00,70.2,65.42,369.64,198.08
2025-01-03 21:00:00,50.94,53.57,378.94,1.05
2025-01-03 22:00:00,42.13,60.89,457.59,37.91
2025-01-03 23:00:00,69.93,71.58,484.11,77.41
2025-01-04 00:00:00,31.14,59.04,819.8,186.59
2025-01-04 01:00:00,38.07,61.06,414.45,14.94
2025-01-04 02:00:00,46.93,59.51,521.41,2.89
2025-01-04 03:00:00,31.56,46.51,662.48,11.48
2025-01-04 04:00:00,44.44,43.62,439.95,18.62
2025-01-04 05:00:00,58.58,82.98,852.91,8.48
2025-01-04 06:00:00,72.98,62.53,628.71,96.48
2025-01-04 07:00:00,75.21,37.1,364.64,116.57
2025-01-04 08:00:00,79.94,54.88,742.65,55.07
2025-01-04 09:00:00,73.26,43.12,574.88,80.26
2025-01-04 10:00:00,67.89,85.36,581.01,19.25
2025-01-04 11:00:00,30.19,20.53,532.98,67.94
2025-01-04 12:00:00,44.02,35.77,547.31,104.98
2025-01-04 13:00:00,50.61,45.57,788.82,146.72
2025-01-04 14:00:00,17.05,54.15,192.68,1.67
2025-01-04 15:00:00,54.91,79.56,400.93,93.99
2025-01-04 16:00:00,47.09,26.15,167.95,60.1
2025-01-04 17:00:00,78.18,76.41,777.92,170.71
2025-01-04 18:00:00,93.12,23.9,345.07,143.4
2025-01-04 19:00:00,57.26,78.96,907.69,118.23
2025-01-04 20:00:00,37.43,23.61,573.92,56.18
2025-01-04 21:00:00,13.69,21.28,820.67,182.16
2025-01-04 22:00:00,88.59,68.79,981.04,9.98
2025-01-04 23:00:00,88.12,89.81,855.81,22.78
2025-01-05 00:00:00,31.5,82.76,880.29,78.93
2025-01-05 01:00:00,69.11,60.32,467.19,25.76
2025-01-05 02:00:00,16.41,84.22,596.55,191.33
2025-01-05 03:00:00,24.13,20.37,328.5,159.8
2025-01-05 04:00:00,28.43,88.25,276.5,52.54
2025-01-05 05:00:00,35.03,54.35,554.96,118.12
2025-01-05 06:00:00,94.65,70.6,635.54,196.48
2025-01-05 07:00:00,69.24,77.46,405.34,176.96
2025-01-05 08:00:00,42.66,70.29,612.5,120.56
2025-01-05 09:00:00,72.65,57.45,898.71,180.84
2025-01-05 10:00:00,87.8,53.36,601.05,197.85
2025-01-05 11:00:00,91.49,78.7,748.73,148.93
2025-01-05 12:00:00,14.92,34.36,824.78,13.93
2025-01-05 13:00:00,43.53,87.76,989.86,80.91
2025-01-05 14:00:00,19.07,69.77,642.88,167.73
2025-01-05 15:00:00,38.53,33.97,826.17,46.88
2025-01-05 16:00:00,24.42,71.54,966.38,166.3
2025-01-05 17:00:00,64.98,57.09,949.97,24.95
2025-01-05 18:00:00,43.0,69.51,226.97,10.34
2025-01-05 19:00:00,29.5,73.74,465.75,77.43
2025-01-05 20:00:00,32.6,26.11,391.59,8.31
2025-01-05 21:00:00,40.63,55.43,178.23,191.5
2025-01-05 22:00:00,32.1,85.24,669.92,165.41
2025-01-05 23:00:00,48.53,42.44,762.31,160.35
2025-01-06 00:00:00,12.75,61.57,863.32,126.33
2025-01-06 01:00:00,33.78,45.85,210.5,44.05
2025-01-06 02:00:00,44.95,51.8,888.8,104.13
2025-01-06 03:00:00,61.24,58.4,678.63,119.86
2025-01-06 04:00:00,33.03,58.42,733.55,105.48
2025-01-06 05:00:00,21.32,34.12,919.56,52.79
2025-01-06 06:00:00,16.48,67.92,662.29,103.53
2025-01-06 07:00:00,89.95,26.15,402.28,98.75
2025-01-06 08:00:00,45.41,29.72,842.6,199.27
2025-01-06 09:00:00,59.4,20.19,426.75,179.59
2025-01-06 10:00:00,88.13,28.17,130.81,93.21
2025-01-06 11:00:00,17.03,53.12,847.59,124.96
2025-01-06 12:00:00,84.52,62.43,410.67,149.83
2025-01-06 13:00:00,56.88,75.6,796.45,7.94
2025-01-06 14:00:00,24.01,27.47,426.48,179.09
2025-01-06 15:00:00,44.96,79.55,874.96,172.17
2025-01-06 16:00:00,76.1,72.22,297.56,92.03
2025-01-06 17:00:00,50.83,48.6,977.09,78.84
2025-01-06 18:00:00,93.75,85.31,801.78,55.32
2025-01-06 19:00:00,42.02,89.37,202.81,95.86
2025-01-06 20:00:00,73.71,34.35,609.2,9.83
2025-01-06 21:00:00,43.4,46.55,986.83,170.59
2025-01-06 22:00:00,80.48,84.85,523.96,8.05
2025-01-06 23:00:00,58.37,70.51,263.9,66.48
2025-01-07 00:00:00,15.4,23.37,536.3,186.39
2025-01-07 01:00:00,13.13,74.71,561.21,147.31
2025-01-07 02:00:00,21.38,77.96,767.52,57.0
2025-01-07 03:00:00,11.16,72.54,728.96,51.28
2025-01-07 04:00:00,16.41,75.97,462.3,2.01
2025-01-07 05:00:00,68.8,77.76,296.22,139.45
2025-01-07 06:00:00,55.42,33.05,680.55,10.71
2025-01-07 07:00:00,73.74,36.5,479.53,106.99
2025-01-07 08:00:00,87.62,64.36,219.05,192.46
2025-01-07 09:00:00,59.74,83.55,910.52,22.78
2025-01-07 10:00:00,71.72,42.13,722.1,179.0
2025-01-07 11:00:00,74.35,61.18,714.87,198.3
2025-01-07 12:00:00,42.12,67.81,840.33,13.24
2025-01-07 13:00:00,30.49,51.64,576.7,176.7
2025-01-07 14:00:00,27.43,69.96,833.55,103.7
2025-01-07 15:00:00,31.37,82.98,548.28,181.4
2025-01-07 16:00:00,33.35,63.69,160.46,114.69
2025-01-07 17:00:00,27.61,57.78,464.72,132.76
2025-01-07 18:00:00,84.65,50.71,547.72,109.21
2025-01-07 19:00:00,74.34,60.42,748.18,173.03
2025-01-07 20:00:00,13.99,44.88,195.92,147.05
2025-01-07 21:00:00,32.84,47.4,226.02,104.73
2025-01-07 22:00:00,11.89,57.23,337.32,173.76
2025-01-07 23:00:00,52.34,24.66,339.85,49.81
2025-01-08 00:00:00,50.48,36.03,758.97,32.31
2025-01-08 01:00:00,80.67,58.0,325.66,32.92
2025-01-08 02:00:00,36.16,50.21,669.79,67.47
2025-01-08 03:00:00,79.39,43.3,544.85,48.5
2025-01-08 04:00:00,92.28,71.14,615.96,186.09
2025-01-08 05:00:00,17.51,68.56,854.3,22.06
2025-01-08 06:00:00,77.3,31.67,463.94,140.1
2025-01-08 07:00:00,60.15,81.5,793.82,38.66
2025-01-08 08:00:00,50.8,54.68,479.83,176.45
2025-01-08 09:00:00,45.75,71.9,418.48,192.3
2025-01-08 10:00:00,76.7,60.12,962.76,93.63
2025-01-08 11:00:00,64.35,89.84,265.93,175.94
2025-01-08 12:00:00,78.43,72.67,181.3,2.02
2025-01-08 13:00:00,86.77,69.49,793.89,164.17
2025-01-08 14:00:00,62.47,74.5,161.42,46.5
2025-01-08 15:00:00,93.34,30.02,853.37,181.83
2025-01-08 16:00:00,61.69,34.32,493.47,1.22
2025-01-08 17:00:00,64.11,69.98,923.96,111.68
2025-01-08 18:00:00,57.16,54.58,749.38,151.57
2025-01-08 19:00:00,17.74,72.82,649.36,52.48
2025-01-08 20:00:00,71.74,27.2,954.38,39.43
2025-01-08 21:00:00,56.53,57.55,456.98,17.74
2025-01-08 22:00:00,48.33,46.52,958.68,65.96
2025-01-08 23:00:00,87.39,51.99,221.5,112.41
2025-01-09 00:00:00,35.33,62.28,535.38,24.05
2025-01-09 01:00:00,54.51,55.16,342.92,75.96
2025-01-09 02:00:00,69.3,57.79,585.86,2.81
2025-01-09 03:00:00,77.7,54.05,245.81,163.92
2025-01-09 04:00:00,49.04,48.63,857.38,26.56
2025-01-09 05:00:00,81.58,74.03,861.77,57.39
2025-01-09 06:00:00,75.36,20.85,959.71,4.67
2025-01-09 07:00:00,15.63,61.89,239.2,87.02
